id,external_id,uId,questionId,program,domain,domain_desc,skill_cd,skill_desc,difficulty,type,stimulus,stem,answer,correct_letters,choices_text,rationale
ad6cdfd4-4643-45b2-b72d-0602fb30ce1c,ad6cdfd4-4643-45b2-b72d-0602fb30ce1c,001e3cd5-5928-4676-b497-48a04ed66b44,ac472881,SAT,H,Algebra,H.A.,Linear equations in one variable,H,spr,,"StartFraction 12 x plus 28 Over 4 EndFraction minus StartFraction s Over 13 EndFraction equals r left parenthesis x minus 8 right parenthesis In the given equation, s and r are constants, and s greater than 0 . If the equation has infinitely many solutions, what is the value of s ?",403,,,"The correct answer is 403 . For a linear equation in one variable to have infinitely many solutions, the coefficients of the variable must be equal on both sides of the equation and the constant terms must also be equal on both sides of the equation. The given equation can be rewritten as StartFraction 4 left parenthesis 3 x plus 7 right parenthesis Over 4 EndFraction minus StartFraction s Over 13 EndFraction equals r left parenthesis x minus 8 right parenthesis , or 3 x plus 7 minus StartFraction s Over 13 EndFraction equals r left parenthesis x minus 8 right parenthesis . Applying the distributive property to the right-hand side of this equation yields 3 x plus 7 minus StartFraction s Over 13 EndFraction equals r x minus 8 r . For this equation to have infinitely many solutions, the coefficients of x must be equal, so it follows that 3 equals r . Additionally, the constant terms must be equal, which means 7 minus StartFraction s Over 13 EndFraction equals minus 8 r . Substituting 3 for r in this equation yields 7 minus StartFraction s Over 13 EndFraction equals minus 8 left parenthesis 3 right parenthesis , or 7 minus StartFraction s Over 13 EndFraction equals negative 24 . Adding StartFraction s Over 13 EndFraction to both sides of this equation yields 7 equals negative 24 plus StartFraction s Over 13 EndFraction . Adding 24 to both sides of this equation yields 31 equals StartFraction s Over 13 EndFraction . Multiplying both sides of this equation by 13 yields 403 equals s . Therefore, if the equation has infinitely many solutions, the value of s is 403 ."
c240c048-e272-462b-b645-1751de050cdd,c240c048-e272-462b-b645-1751de050cdd,00d5ab1d-b64c-4161-97b7-890e404262ac,3f5a3602,SAT,H,Algebra,H.D.,Systems of two linear equations in two variables,H,mcq,,For the first line in the system: The line slants gradually down from left to right. The line passes through the following points: (3 comma 2) (8 comma 0) For the second line in the system: The line slants gradually down from left to right. The line passes through the following points: (3 comma 4) (8 comma 0) What system of linear equations is represented by the lines shown?,,D,A. 8 x plus 4 y equals 32 minus 10 x minus 4 y equals negative 64 | B. 8 x minus 4 y equals 32 minus 10 x plus 4 y equals negative 64 | C. 4 x minus 10 y equals 32 minus 8 x plus 10 y equals negative 64 | D. 4 x plus 10 y equals 32 minus 8 x minus 10 y equals negative 64,"Choice D is correct. A line in the xy -plane that passes through the points left parenthesis x 1 comma y 1 right parenthesis and left parenthesis x 2 comma y 2 right parenthesis has slope m , where m equals StartFraction y 2 minus y 1 Over x 2 minus x 1 EndFraction , and can be defined by an equation of the form y minus y 1 equals m left parenthesis x minus x 1 right parenthesis . One of the lines shown in the graph passes through the points left parenthesis 8 comma 0 right parenthesis and left parenthesis 3 comma 4 right parenthesis . Substituting 8 for x 1 , 0 for y 1 , 3 for x 2 , and 4 for y 2 in the equation m equals StartFraction y 2 minus y 1 Over x 2 minus x 1 EndFraction yields m equals StartFraction 4 minus 0 Over 3 minus 8 EndFraction , or m equals negative four fifths . Substituting negative four fifths for m , 8 for x 1 and 0 for y 1 in the equation y minus y 1 equals m left parenthesis x minus x 1 right parenthesis yields y minus 0 equals minus four fifths left parenthesis x minus 8 right parenthesis , which is equivalent to y equals minus four fifths x plus StartFraction 32 Over 5 EndFraction . Adding four fifths x to both sides of this equation yields four fifths x plus y equals StartFraction 32 Over 5 EndFraction . Multiplying both sides of this equation by negative 10 yields minus 8 x minus 10 y equals negative 64 . Therefore, an equation of this line is minus 8 x minus 10 y equals negative 64 . Similarly, the other line shown in the graph passes through the points left parenthesis 8 comma 0 right parenthesis and left parenthesis 3 comma 2 right parenthesis . Substituting 8 for x 1 , 0 for y 1 , 3 for x 2 , and 2 for y 2 in the equation m equals StartFraction y 2 minus y 1 Over x 2 minus x 1 EndFraction yields m equals StartFraction 2 minus 0 Over 3 minus 8 EndFraction , or m equals negative two fifths . Substituting negative two fifths for m , 8 for x 1 , and 0 for y 1 in the equation y minus y 1 equals m left parenthesis x minus x 1 right parenthesis yields y minus 0 equals minus two fifths left parenthesis x minus 8 right parenthesis , which is equivalent to y equals minus two fifths x plus StartFraction 16 Over 5 EndFraction . Adding two fifths x to both sides of this equation yields two fifths x plus y equals StartFraction 16 Over 5 EndFraction . Multiplying both sides of this equation by 10 yields 4 x plus 10 y equals 32 . Therefore, an equation of this line is 4 x plus 10 y equals 32 . So, the system of linear equations represented by the lines shown is 4 x plus 10 y equals 32 and minus 8 x minus 10 y equals negative 64 . Choice A is incorrect and may result from conceptual or calculation errors. Choice B is incorrect and may result from conceptual or calculation errors. Choice C is incorrect and may result from conceptual or calculation errors."
f1332d3b-a308-4640-95e0-cae936826d8d,f1332d3b-a308-4640-95e0-cae936826d8d,01277323-dcdb-4fcd-a2ce-89b751ea55ee,3d1070c9,SAT,H,Algebra,H.B.,Linear functions,E,mcq,,The function f is defined by f left parenthesis x right parenthesis equals 25 x plus 30 . What is the value of f left parenthesis x right parenthesis when x equals 2 ?,,C,A. 50 | B. 57 | C. 80 | D. 110,"Choice C is correct. It’s given that the function f is defined by f left parenthesis x right parenthesis equals 25 x plus 30 . Substituting 2 for x in this equation yields f left parenthesis 2 right parenthesis equals 25 left parenthesis 2 right parenthesis plus 30 , which is equivalent to f left parenthesis 2 right parenthesis equals 50 plus 30 , or f left parenthesis 2 right parenthesis equals 80 . Therefore, the value of f left parenthesis x right parenthesis is 80 when x equals 2 . Choice A is incorrect. This is the value of 25 left parenthesis 2 right parenthesis , not 25 left parenthesis 2 right parenthesis plus 30 . Choice B is incorrect. This is the value of 25 plus 2 plus 30 , not 25 left parenthesis 2 right parenthesis plus 30 . Choice D is incorrect. This is the value of left parenthesis 25 plus 30 right parenthesis left parenthesis 2 right parenthesis , not 25 left parenthesis 2 right parenthesis plus 30 ."
65ac5dc5-af25-4ecf-8562-a346047750a6,65ac5dc5-af25-4ecf-8562-a346047750a6,013b49a8-e0e3-4cde-8913-5016b184fb62,002dba45,SAT,H,Algebra,H.C.,Linear equations in two variables,M,spr,,Line k is defined by y equals minus StartFraction 17 Over 3 EndFraction x plus 5 . Line j is perpendicular to line k in the xy -plane. What is the slope of line j ?,.1764,,,"The correct answer is three seventeenths . It’s given that line j is perpendicular to line k in the xy -plane. This means that the slope of line j is the negative reciprocal of the slope of line k . The equation of line k , y equals minus StartFraction 17 Over 3 EndFraction x plus 5 , is written in slope-intercept form y equals m x plus b , where m is the slope of the line and b is the y -coordinate of the y -intercept of the line. It follows that the slope of line k is negative StartFraction 17 Over 3 EndFraction . The negative reciprocal of a number is negative 1 divided by the number. Therefore, the negative reciprocal of negative StartFraction 17 Over 3 EndFraction is StartStartFraction negative 1 OverOver negative StartFraction 17 Over 3 EndFraction EndEndFraction , or three seventeenths . Thus, the slope of line j is three seventeenths . Note that 3/17, .1764, .1765, and 0.176 are examples of ways to enter a correct answer."
d384e4e9-870d-4026-ba15-b7eb23e0c5fc,d384e4e9-870d-4026-ba15-b7eb23e0c5fc,015305f9-b9f2-4e73-8654-dad0656ff31c,edc1b7b7,SAT,H,Algebra,H.D.,Systems of two linear equations in two variables,H,spr,,2 left parenthesis 8 x right parenthesis plus 4 left parenthesis 7 y right parenthesis equals 12 minus 2 left parenthesis 8 x right parenthesis plus 4 left parenthesis 7 y right parenthesis equals 12 The solution to the given system of equations is left parenthesis x comma y right parenthesis . What is the value of 8 x plus 7 y ?,3,,,"The correct answer is 3 . Adding the second equation to the first equation in the given system of equations yields left parenthesis 2 left parenthesis 8 x right parenthesis minus 2 left parenthesis 8 x right parenthesis right parenthesis plus left parenthesis 4 left parenthesis 7 y right parenthesis plus 4 left parenthesis 7 y right parenthesis right parenthesis equals 12 plus 12 , or 8 left parenthesis 7 y right parenthesis equals 24 . Dividing both sides of this equation by 8 yields 7 y equals 3 . Substituting 3 for 7 y in the first equation, 2 left parenthesis 8 x right parenthesis plus 4 left parenthesis 7 y right parenthesis equals 12 , yields 2 left parenthesis 8 x right parenthesis plus 4 left parenthesis 3 right parenthesis equals 12 , or 2 left parenthesis 8 x right parenthesis plus 12 equals 12 . Subtracting 12 from both sides of this equation yields 2 left parenthesis 8 x right parenthesis equals 0 . Dividing both sides of this equation by 2 yields 8 x equals 0 . Substituting 0 for 8 x and 3 for 7 y in the expression 8 x plus 7 y yields 0 plus 3 , or 3 . Therefore, the value of 8 x plus 7 y is 3 ."
ad73f33e-e2f7-442f-9463-281f925a0111,ad73f33e-e2f7-442f-9463-281f925a0111,017817e1-f64f-47ca-9b0f-c764117e0574,fa80893a,SAT,H,Algebra,H.A.,Linear equations in one variable,E,spr,,"If 2 x plus 3 equals 9 , what is the value of 6 x minus 1 ?",17,,,"The correct answer is 17 . It’s given that 2 x plus 3 equals 9 . Multiplying each side of this equation by 3 yields 3 left parenthesis 2 x plus 3 right parenthesis equals 3 left parenthesis 9 right parenthesis , or 6 x plus 9 equals 27 . Subtracting 10 from each side of this equation yields 6 x plus 9 minus 10 equals 27 minus 10 , or 6 x minus 1 equals 17 . Therefore, the value of 6 x minus 1 is 17 ."
bfbc2147-51fa-4780-a273-d0cf88011d1c,bfbc2147-51fa-4780-a273-d0cf88011d1c,01db2f76-2893-4954-a292-05716e1e5c28,bd9eb2b5,SAT,H,Algebra,H.B.,Linear functions,E,mcq,,The function f is defined by f left parenthesis x right parenthesis equals 8 x . For what value of x does f left parenthesis x right parenthesis equals 72 ?,,B,A. 8 | B. 9 | C. 64 | D. 80,"Choice B is correct. Substituting 72 for f left parenthesis x right parenthesis in the given function yields 72 equals 8 x . Dividing each side of this equation by 8 yields 9 equals x . Therefore, f left parenthesis x right parenthesis equals 72 when the value of x is 9 . Choice A is incorrect. This is the value of x for which f left parenthesis x right parenthesis equals 64 , not f left parenthesis x right parenthesis equals 72 . Choice C is incorrect. This is the value of x for which f left parenthesis x right parenthesis equals 512 , not f left parenthesis x right parenthesis equals 72 . Choice D is incorrect. This is the value of x for which f left parenthesis x right parenthesis equals 640 , not f left parenthesis x right parenthesis equals 72 ."
0478e0b5-4347-4ca3-81d3-9d8f3d89e005,0478e0b5-4347-4ca3-81d3-9d8f3d89e005,0225482c-b4f8-4da1-8a8a-6e22579a727e,1480dd5c,SAT,H,Algebra,H.B.,Linear functions,E,mcq,,"f left parenthesis x right parenthesis equals 4 x plus b For the linear function f , b is a constant and f left parenthesis 7 right parenthesis equals 28 . What is the value of b ?",,A,A. 0 | B. 1 | C. 4 | D. 7,"Choice A is correct. For the linear function f , it’s given that f left parenthesis 7 right parenthesis equals 28 . Substituting 7 for x and 28 for f left parenthesis x right parenthesis in the given function yields 28 equals 4 left parenthesis 7 right parenthesis plus b , or 28 equals 28 plus b . Subtracting 28 from each side of this equation yields 0 equals b . Therefore, the value of b is 0 . Choice B is incorrect. Substituting 1 for b in the given function yields f left parenthesis x right parenthesis equals 4 x plus 1 . For this function, when the value of x is 7 , the value of f left parenthesis x right parenthesis is 29 , not 28 . Choice C is incorrect. Substituting 4 for b in the given function yields f left parenthesis x right parenthesis equals 4 x plus 4 . For this function, when the value of x is 7 , the value of f left parenthesis x right parenthesis is 32 , not 28 . Choice D is incorrect. Substituting 7 for b in the given function yields f left parenthesis x right parenthesis equals 4 x plus 7 . For this function, when the value of x is 7 , the value of f left parenthesis x right parenthesis is 35 , not 28 ."
83c4d031-e8f1-4415-8c6c-33d11d65e85b,83c4d031-e8f1-4415-8c6c-33d11d65e85b,02672cb2-7340-4344-8dc8-257d5159823b,3008cfc3,SAT,H,Algebra,H.C.,Linear equations in two variables,H,spr,,"x y k 13 k plus 7 negative 15 The table gives the coordinates of two points on a line in the xy -plane. The y -intercept of the line is left parenthesis k minus 5 comma b right parenthesis , where k and b are constants. What is the value of b ?",33,,,"The correct answer is 33 . It’s given in the table that the coordinates of two points on a line in the xy -plane are left parenthesis k comma 13 right parenthesis and left parenthesis k plus 7 comma negative 15 right parenthesis . The y -intercept is another point on the line. The slope computed using any pair of points from the line will be the same. The slope of a line, m , between any two points, left parenthesis x 1 comma y 1 right parenthesis and left parenthesis x 2 comma y 2 right parenthesis , on the line can be calculated using the slope formula, m equals StartFraction left parenthesis y 2 minus y 1 right parenthesis Over left parenthesis x 2 minus x 1 right parenthesis EndFraction . It follows that the slope of the line with the given points from the table, left parenthesis k comma 13 right parenthesis and left parenthesis k plus 7 comma negative 15 right parenthesis , is m equals StartFraction negative 15 minus 13 Over k plus 7 minus k EndFraction , which is equivalent to m equals StartFraction negative 28 Over 7 EndFraction , or m equals negative 4 . It's given that the y -intercept of the line is left parenthesis k minus 5 comma b right parenthesis . Substituting negative 4 for m and the coordinates of the points left parenthesis k minus 5 comma b right parenthesis and left parenthesis k comma 13 right parenthesis into the slope formula yields negative 4 equals StartFraction 13 minus b Over k minus left parenthesis k minus 5 right parenthesis EndFraction , which is equivalent to negative 4 equals StartFraction 13 minus b Over k minus k plus 5 EndFraction , or negative 4 equals StartFraction 13 minus b Over 5 EndFraction . Multiplying both sides of this equation by 5 yields negative 20 equals 13 minus b . Subtracting 13 from both sides of this equation yields negative 33 equals negative b . Dividing both sides of this equation by negative 1 yields b equals 33 . Therefore, the value of b is 33 ."
df1e58e8-b763-42a1-a3e2-b70a4bac09d5,df1e58e8-b763-42a1-a3e2-b70a4bac09d5,02a67fe5-4d1c-43dc-9090-af77856cd973,0d6ab461,SAT,H,Algebra,H.B.,Linear functions,E,mcq,,"Gabriella deposits dollar sign 35 in a savings account at the end of each week. At the beginning of the 1st week of a year there was dollar sign 600 in that savings account. How much money, in dollars, will be in the account at the end of the 4th week of that year?",,D,A. 460 | B. 635 | C. 639 | D. 740,"Choice D is correct. It’s given that at the beginning of the 1st week of the year there was dollar sign 600 in a savings account and Gabriella deposits dollar sign 35 in that savings account at the end of each week. Therefore, the amount of money, in dollars, in the savings account at the end of the 4th week of that year is 600 plus 4 left parenthesis 35 right parenthesis , or 740 . Choice A is incorrect. This is the amount of money, in dollars, that will be in the account at the end of the 4th week if Gabriella withdraws, rather than deposits, dollar sign 35 at the end of each week. Choice B is incorrect. This is the amount of money, in dollars, that will be in the account at the end of the 1st week, not the 4th week. Choice C is incorrect and may result from conceptual or calculation errors."
